,ABN,Name,Main activity,Full time staff,Part time staff,Volunteers,Year,Casual staff,Total revenue,Total gross income,Employee expenses,All other expenses,Total expenses,Net surplus deficit,type,cat1_1,formed_combined2
60,13061138181,The Kids' Cancer Project,Research,10,7,50,2017,1.0,9121475.0,9121475.0,1747966.0,4383492.0,9816807.0,-695332.0,Service Group,disabled and health advocacy,1993.0
61,13061138181,The Kids' Cancer Project,Other health service delivery,18,5,22,2018,1.0,8969394.0,8969394.0,1978625.0,4830836.0,10324823.0,-1355429.0,Service Group,disabled and health advocacy,1993.0
62,13061138181,The Kids' Cancer Project,Other health service delivery,21,3,45,2019,1.0,8365625.0,8365625.0,2127886.0,3949288.0,8916605.0,-550980.0,Service Group,disabled and health advocacy,1993.0
63,13087510232,National Ethnic Disability Alliance Inc,Civic and advocacy activities,0,3,8,2013,,,,,,,,Citizen group,disabled and health advocacy,1995.0
64,13087510232,National Ethnic Disability Alliance Inc,"Economic, social and community development",1,3,6,2014,0.0,167.0,213055.0,160971.0,0.0,200551.0,12503.0,Citizen group,disabled and health advocacy,1995.0
65,13087510232,National Ethnic Disability Alliance Inc,"Economic, social and community development",1,2,8,2015,2.0,269234.0,269234.0,131603.0,70056.0,201659.0,67574.0,Citizen group,disabled and health advocacy,1995.0
66,13087510232,National Ethnic Disability Alliance Inc,"Economic, social and community development",1,2,8,2016,1.0,451375.0,451375.0,161644.0,197135.0,358779.0,92596.0,Citizen group,disabled and health advocacy,1995.0
67,13087510232,National Ethnic Disability Alliance Inc,Advocacy and civic activities,1,2,8,2017,1.0,381019.0,381019.0,196111.0,198076.0,394187.0,-13168.0,Citizen group,disabled and health advocacy,1995.0
68,13087510232,National Ethnic Disability Alliance Inc,Civic and advocacy activities,1,4,10,2018,1.0,547256.0,547252.0,283453.0,264778.0,548231.0,-979.0,Citizen group,disabled and health advocacy,1995.0
69,13087510232,National Ethnic Disability Alliance Inc,Civic and advocacy activities,3,3,8,2019,0.0,481223.0,481223.0,330240.0,127984.0,458224.0,22999.0,Citizen group,disabled and health advocacy,1995.0
70,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Other activity,3,1,40,2013,,,,,,,,Citizen group,public interest,2002.0
71,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Environmental activities,9,0,301,2014,8.0,649488.0,1076470.0,363338.0,1058911.0,1422428.0,-345958.0,Citizen group,public interest,2002.0
72,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Environmental activities,13,0,150,2015,0.0,1223339.0,1667453.0,672702.0,958480.0,1632197.0,35256.0,Citizen group,public interest,2002.0
73,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Environmental activities,19,2,80,2016,15.0,1442648.0,1751311.0,938348.0,899636.0,1838779.0,-87468.0,Citizen group,public interest,2002.0
74,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Environmental activities,14,1,50,2017,15.0,1490998.0,1941590.0,1072016.0,978327.0,2050810.0,-109220.0,Citizen group,public interest,2002.0
75,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Hospital services and rehabilitation activities,19,0,50,2018,14.0,2084292.0,2601043.0,1345139.0,1144285.0,2489694.0,111349.0,Citizen group,public interest,2002.0
76,13102721513,Australia Zoo Wildlife Warriors Worldwide Ltd,Hospital services and rehabilitation activities,17,2,50,2019,10.0,3035322.0,3035322.0,1436592.0,1128825.0,2565417.0,469905.0,Citizen group,public interest,2002.0
77,13294026244,Historical Aircraft Restoration Society,Other activity,0,0,150,2013,,,,,,,,Leisure group,recreational,1979.0
78,13294026244,Historical Aircraft Restoration Society,Other activity,0,0,301,2014,0.0,971972.0,971972.0,0.0,1300055.0,1300055.0,-328083.0,Leisure group,recreational,1979.0
79,13294026244,Historical Aircraft Restoration Society,Culture and arts,0,0,200,2015,0.0,1401614.0,1401614.0,0.0,834990.0,877596.0,524018.0,Leisure group,recreational,1979.0
80,13294026244,Historical Aircraft Restoration Society,Culture and arts,0,0,200,2016,0.0,1614058.0,1614058.0,0.0,1004701.0,1041639.0,572419.0,Leisure group,recreational,1979.0
81,13294026244,Historical Aircraft Restoration Society,Other philanthropic intermediaries and voluntarism promotion,0,0,150,2017,0.0,1577717.0,1577717.0,0.0,1578258.0,1646041.0,-68324.0,Leisure group,recreational,1979.0
82,13294026244,Historical Aircraft Restoration Society,Culture and arts,0,0,200,2018,0.0,1744323.0,1744323.0,0.0,1264291.0,1326229.0,418094.0,Leisure group,recreational,1979.0
83,13294026244,Historical Aircraft Restoration Society,Culture and arts,1,0,250,2019,0.0,1354643.0,1354643.0,23400.0,1212547.0,1296225.0,58418.0,Leisure group,recreational,1979.0
84,13402033474,Australiana Society Inc,,0,0,11,2013,,,,,,,,Leisure group,recreational,1978.0
85,13402033474,Australiana Society Inc,Culture and arts,0,0,30,2014,0.0,0.0,39858.0,0.0,31274.0,32274.0,7584.0,Leisure group,recreational,1978.0
86,13402033474,Australiana Society Inc,Culture and arts,0,0,11,2015,0.0,0.0,18960.0,0.0,7383.0,7383.0,11577.0,Leisure group,recreational,1978.0
87,13402033474,Australiana Society Inc,Culture and arts,0,0,20,2016,0.0,0.0,11276.0,0.0,4177.0,4177.0,7099.0,Leisure group,recreational,1978.0
88,13402033474,Australiana Society Inc,Culture and arts,0,0,20,2017,0.0,15922.0,15922.0,0.0,3881.0,6881.0,9041.0,Leisure group,recreational,1978.0
89,13402033474,Australiana Society Inc,Culture and arts,0,0,20,2018,0.0,103558.0,103558.0,0.0,81360.0,81360.0,22198.0,Leisure group,recreational,1978.0
90,13402033474,Australiana Society Inc,Culture and arts,0,0,12,2019,0.0,90942.0,90942.0,0.0,91891.0,92291.0,-1349.0,Leisure group,recreational,1978.0
91,13903061955,Connecting Up Incorporated,"Economic, social and community development",11,3,16,2013,,,,,,,,Service Group,social welfare and poor,1981.0
92,13903061955,Connecting Up Incorporated,"Economic, social and community development",12,3,30,2014,4.0,4277860.0,4277860.0,1210997.0,2847549.0,4058546.0,219314.0,Service Group,social welfare and poor,1981.0
93,13903061955,Connecting Up Incorporated,"Economic, social and community development",16,3,10,2015,2.0,3987781.0,3987781.0,1150890.0,2684060.0,3834950.0,152841.0,Service Group,social welfare and poor,1981.0
94,13903061955,Connecting Up Incorporated,"Economic, social and community development",17,2,15,2016,1.0,4760529.0,4760529.0,1237523.0,3058451.0,4295974.0,464555.0,Service Group,social welfare and poor,1981.0
95,13903061955,Connecting Up Incorporated,"Economic, social and community development",16,2,15,2017,2.0,5251924.0,5251924.0,1383575.0,3637403.0,5020978.0,230946.0,Service Group,social welfare and poor,1981.0
96,13903061955,Connecting Up Incorporated,"Economic, social and community development",14,3,15,2018,2.0,5501841.0,5501841.0,1490503.0,3982121.0,5472624.0,29217.0,Service Group,social welfare and poor,1981.0
97,13903061955,Connecting Up Incorporated,"Economic, social and community development",10,1,29,2019,1.0,6166938.0,6166938.0,1308982.0,5406200.0,6715182.0,-548244.0,Service Group,social welfare and poor,1981.0
98,14053849460,Exercise And Sports Science Australia Ltd,Other activity,13,9,160,2013,,,,,,,,Professional group,occupational association,1991.0
99,14053849460,Exercise And Sports Science Australia Ltd,Other health service delivery,14,8,301,2014,1.0,3441298.0,3441298.0,1376551.0,1826750.0,3203301.0,238027.0,Professional group,occupational association,1991.0
100,14053849460,Exercise And Sports Science Australia Ltd,Other health service delivery,13,11,140,2015,1.0,3032338.0,3032338.0,1644073.0,1392308.0,3036381.0,-4043.0,Professional group,occupational association,1991.0
101,14053849460,Exercise And Sports Science Australia Ltd,Other health service delivery,14,8,140,2016,1.0,4083187.0,4083187.0,1755920.0,2209391.0,3965311.0,117876.0,Professional group,occupational association,1991.0
102,14053849460,Exercise And Sports Science Australia Ltd,Other health service delivery,15,13,160,2017,1.0,3914413.0,3914413.0,1924588.0,1654625.0,3579213.0,335200.0,Professional group,occupational association,1991.0
103,14053849460,Exercise And Sports Science Australia Ltd,Other education,21,11,160,2018,0.0,5049325.0,5049325.0,2067350.0,2498432.0,4565782.0,483543.0,Professional group,occupational association,1991.0
104,14053849460,Exercise And Sports Science Australia Ltd,Higher education,23,11,180,2019,0.0,5068995.0,5068995.0,2504656.0,2341471.0,4846127.0,222868.0,Professional group,occupational association,1991.0
105,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,10,4,10,2013,,,,,,,,Service Group,disabled and health advocacy,1997.0
106,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,10,5,6,2014,0.0,3483632.0,3483632.0,720247.0,682469.0,2983767.0,499865.0,Service Group,disabled and health advocacy,1997.0
107,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,10,5,2,2015,68.0,3232090.0,3232090.0,730102.0,2462181.0,3192283.0,39807.0,Service Group,disabled and health advocacy,1997.0
108,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,8,10,3,2016,0.0,3576825.0,3604939.0,1013766.0,3078955.0,4092721.0,-487782.0,Service Group,disabled and health advocacy,1997.0
109,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,8,10,3,2017,0.0,4105141.0,4125744.0,1027314.0,3097328.0,4124642.0,1102.0,Service Group,disabled and health advocacy,1997.0
110,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,8,9,50,2018,0.0,4347152.0,4347152.0,1235801.0,3397477.0,4633278.0,-286126.0,Service Group,disabled and health advocacy,1997.0
111,14073675457,The Humour Foundation,Hospital services and rehabilitation activities,6,12,50,2019,0.0,5134954.0,5134954.0,1208406.0,3745796.0,4954202.0,180752.0,Service Group,disabled and health advocacy,1997.0
112,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,5,4,50,2013,,,,,,,,Citizen group,identity groups,1926.0
113,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,5,4,30,2014,0.0,5684624.0,5684624.0,777764.0,4349983.0,5188253.0,496371.0,Citizen group,identity groups,1926.0
114,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,1,3,0,2015,0.0,786461.0,791916.0,282965.0,1431217.0,1788125.0,-996209.0,Citizen group,identity groups,1926.0
115,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,1,3,0,2016,0.0,664433.0,718823.0,303871.0,294914.0,675021.0,43802.0,Citizen group,identity groups,1926.0
116,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,1,3,0,2017,0.0,655756.0,655756.0,323778.0,310631.0,702909.0,-47153.0,Citizen group,identity groups,1926.0
117,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,1,4,0,2018,0.0,932765.0,932765.0,284847.0,297496.0,649682.0,283083.0,Citizen group,identity groups,1926.0
118,14389247348,The Baptist Union Of Australia Incorporated,Religious activities,1,4,0,2019,0.0,663085.0,663085.0,289332.0,283687.0,600013.0,63072.0,Citizen group,identity groups,1926.0
127,15347659323,Whitelion Youth Agency Ltd,Social services,59,51,240,2013,,,,,,,,Service Group,social welfare and poor,1999.0
128,15347659323,Whitelion Youth Agency Ltd,Social services,62,23,76,2014,32.0,7030935.0,7030935.0,4391865.0,2667766.0,7069587.0,-38652.0,Service Group,social welfare and poor,1999.0
129,15347659323,Whitelion Youth Agency Ltd,Social services,55,41,301,2015,14.0,7415045.0,7415045.0,4317460.0,3006700.0,7345612.0,69433.0,Service Group,social welfare and poor,1999.0
130,15347659323,Whitelion Youth Agency Ltd,Social services,63,28,350,2016,16.0,7767113.0,7767113.0,5915910.0,1774253.0,7715747.0,51366.0,Service Group,social welfare and poor,1999.0
131,15347659323,Whitelion Youth Agency Ltd,Social services,74,33,301,2017,34.0,10906849.0,10906849.0,7410305.0,3553305.0,10992360.0,-85511.0,Service Group,social welfare and poor,1999.0
132,15347659323,Whitelion Youth Agency Ltd,Social services,85,43,300,2018,50.0,13185668.0,13161678.0,8954652.0,4320399.0,13327208.0,-165530.0,Service Group,social welfare and poor,1999.0
133,15347659323,Whitelion Youth Agency Ltd,Social services,67,45,361,2019,35.0,13019395.0,13064050.0,9883672.0,4371863.0,14275689.0,-1211639.0,Service Group,social welfare and poor,1999.0
134,15779883661,Medical Association For Prevention Of War - Australia Inc.,Civic and advocacy activities,0,2,5,2013,,,,,,,,Citizen group,public interest,1981.0
135,15779883661,Medical Association For Prevention Of War - Australia Inc.,Civic and advocacy activities,0,2,6,2014,1.0,0.0,144495.0,87066.0,41111.0,128177.0,16318.0,Citizen group,public interest,1981.0
136,15779883661,Medical Association For Prevention Of War - Australia Inc.,Civic and advocacy activities,0,2,5,2015,1.0,0.0,264578.0,83384.0,55159.0,138543.0,126035.0,Citizen group,public interest,1981.0
137,15779883661,Medical Association For Prevention Of War - Australia Inc.,Advocacy and civic activities,0,2,8,2016,0.0,0.0,167237.0,85962.0,36687.0,122649.0,44588.0,Citizen group,public interest,1981.0
138,15779883661,Medical Association For Prevention Of War - Australia Inc.,Advocacy and civic activities,1,1,5,2017,1.0,81398.0,81398.0,87561.0,43007.0,130568.0,-49170.0,Citizen group,public interest,1981.0
139,15779883661,Medical Association For Prevention Of War - Australia Inc.,Civic and advocacy activities,0,2,30,2018,1.0,166377.0,166377.0,89953.0,58649.0,148602.0,17775.0,Citizen group,public interest,1981.0
140,15779883661,Medical Association For Prevention Of War - Australia Inc.,Civic and advocacy activities,0,2,35,2019,0.0,109038.0,109038.0,114515.0,42226.0,157041.0,-48003.0,Citizen group,public interest,1981.0
141,16003229285,National Association For The Visual Arts Ltd,Culture and arts,4,5,1,2013,,,,,,,,Business association,business organization,1983.0
142,16003229285,National Association For The Visual Arts Ltd,Culture and arts,6,2,6,2014,1.0,1115562.0,1130573.0,428832.0,319981.0,1152333.0,-21760.0,Business association,business organization,1983.0
143,16003229285,National Association For The Visual Arts Ltd,Culture and arts,4,3,16,2015,2.0,1262964.0,1269048.0,447828.0,666783.0,1236611.0,32437.0,Business association,business organization,1983.0
144,16003229285,National Association For The Visual Arts Ltd,Culture and arts,4,3,2,2016,2.0,1298680.0,1300299.0,446836.0,607017.0,1228653.0,71646.0,Business association,business organization,1983.0
145,16003229285,National Association For The Visual Arts Ltd,Culture and arts,5,2,0,2017,6.0,1196507.0,1196879.0,472585.0,516554.0,1164737.0,32142.0,Business association,business organization,1983.0
146,16003229285,National Association For The Visual Arts Ltd,Culture and arts,4,3,0,2018,2.0,1369522.0,1369522.0,506066.0,741350.0,1390416.0,-20894.0,Business association,business organization,1983.0
147,16003229285,National Association For The Visual Arts Ltd,Culture and arts,2,3,0,2019,3.0,1320683.0,1320683.0,433660.0,798026.0,1351322.0,-30639.0,Business association,business organization,1983.0
148,16005214531,Australian Council On Children And The Media,Other activity,0,10,20,2013,,,,,,,,Citizen group,age,1957.0
149,16005214531,Australian Council On Children And The Media,Other activity,0,1,6,2014,10.0,0.0,156848.0,73690.0,77073.0,150763.0,6085.0,Citizen group,age,1957.0
150,16005214531,Australian Council On Children And The Media,Other health service delivery,0,1,15,2015,8.0,0.0,131732.0,82147.0,52830.0,134977.0,-3245.0,Citizen group,age,1957.0
151,16005214531,Australian Council On Children And The Media,Other health service delivery,0,5,16,2016,10.0,0.0,157548.0,93550.0,59804.0,153354.0,4194.0,Citizen group,age,1957.0
152,16005214531,Australian Council On Children And The Media,Other health service delivery,0,4,16,2017,15.0,186334.0,186334.0,106207.0,89212.0,195419.0,-9085.0,Citizen group,age,1957.0
153,16005214531,Australian Council On Children And The Media,Other health service delivery,0,4,16,2018,15.0,164929.0,164929.0,122582.0,34551.0,157133.0,7796.0,Citizen group,age,1957.0
154,16005214531,Australian Council On Children And The Media,Other health service delivery,0,1,15,2019,6.0,205665.0,205665.0,118298.0,34951.0,153249.0,52416.0,Citizen group,age,1957.0
155,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,,0,2,5,2013,,,,,,,,Leisure group,identity groups,1964.0
156,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,2,76,2014,0.0,24898.0,307652.0,79096.0,133728.0,277367.0,30285.0,Leisure group,identity groups,1964.0
157,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,2,-1,2015,0.0,368082.0,368082.0,73001.0,217469.0,353332.0,14750.0,Leisure group,identity groups,1964.0
158,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,2,100,2016,0.0,296698.0,296698.0,63173.0,185093.0,330273.0,-33575.0,Leisure group,identity groups,1964.0
159,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,1,100,2017,0.0,376582.0,376582.0,55759.0,299598.0,396006.0,-19424.0,Leisure group,identity groups,1964.0
160,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,1,100,2018,0.0,364975.0,364975.0,58762.0,264450.0,368939.0,-3964.0,Leisure group,identity groups,1964.0
161,16036715933,Religious Society Of Friends (Quakers) In Aust Inc,Religious activities,0,1,100,2019,0.0,407619.0,407619.0,60632.0,163381.0,294482.0,113137.0,Leisure group,identity groups,1964.0
162,16068548631,Wesnet (Women's Services Network) Incorporated,Civic and advocacy activities,0,2,0,2013,,,,,,,,Citizen group,gender,1995.0
163,16068548631,Wesnet (Women's Services Network) Incorporated,Civic and advocacy activities,0,2,0,2014,0.0,390144.0,390144.0,108750.0,275258.0,384008.0,6136.0,Citizen group,gender,1995.0
164,16068548631,Wesnet (Women's Services Network) Incorporated,Civic and advocacy activities,0,2,10,2015,0.0,445820.0,445820.0,106327.0,336205.0,442532.0,3288.0,Citizen group,gender,1995.0
165,16068548631,Wesnet (Women's Services Network) Incorporated,Social services,1,2,0,2016,1.0,629772.0,629772.0,134053.0,478739.0,612792.0,16980.0,Citizen group,gender,1995.0
166,16068548631,Wesnet (Women's Services Network) Incorporated,Social services,2,9,0,2017,9.0,1600369.0,1600369.0,632075.0,914154.0,1546229.0,54140.0,Citizen group,gender,1995.0
167,16068548631,Wesnet (Women's Services Network) Incorporated,Social services,4,8,10,2018,5.0,1510590.0,1510590.0,808750.0,606260.0,1415010.0,95580.0,Citizen group,gender,1995.0
168,16068548631,Wesnet (Women's Services Network) Incorporated,Emergency and relief,4,8,0,2019,0.0,1445577.0,1445577.0,695256.0,512590.0,1207846.0,237731.0,Citizen group,gender,1995.0
169,16087937531,BREAST CANCER NETWORK AUSTRALIA,Other health service delivery,28,12,45,2013,,,,,,,,Citizen group,disabled and health advocacy,1998.0
