uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1
1143,Humane Research Australia,Citizen group,2,1979,VIC,,public interest
852,Church Missionary Society - Australia Inc,Citizen group,20,1799,NSW,,identity groups
1011,Family Relationship Services Australia,Citizen group,4,2007,ACT,,social welfare and poor
1267,Mental Health Council of Australia,Citizen group,13,1997,ACT,,disabled and health advocacy
1529,Scleroderma Australia,Citizen group,1,2005,VIC,,disabled and health advocacy
936,Dalgarno Institute,Citizen group,1,1842,VIC,,disabled and health advocacy
67,Arts Access Australia,Citizen group,1,1992,VIC,,arts and cultural
156,Australian Anti-Fluoridation Association,Citizen group,,1960,VIC,,disabled and health advocacy
724,Australian Women's Health Network,Citizen group,1,1986,VIC,,disabled and health advocacy
1323,National Council of Jewish Women of Australia,Citizen group,0.5,1923,VIC,,identity groups
809,Care Leavers of Australia Network,Citizen group,4,2000,NSW,,social welfare and poor
1283,Motor Neurone Disease Australia Inc,Citizen group,2,1991,QLD,,disabled and health advocacy
840,Children with Disability Australia,Citizen group,1,2002,VIC,,disabled and health advocacy
13,Adult Learning Australia,Citizen group,1,1960,VIC,,education
11,ActionAid Australia,Citizen group,22,2009,NSW,,social welfare and poor
732,Australians for Constitutional Monarchy,Citizen group,1,1993,NSW,,public interest
214,Australian Breastfeeding Association,Citizen group,,1964,VIC,,disabled and health advocacy
1311,National Asthma Council Australia,Citizen group,5,1990,VIC,,disabled and health advocacy
973,Early Childhood Australia,Citizen group,34,1938,ACT,,age
1074,Game Fishing Association of Australia,Citizen group,0.5,1938,NSW,,recreational
1698,WIZO Australia,Citizen group,1,1937,NSW,,identity groups
1689,Whistleblowers Australia Inc,Citizen group,0,1991,NSW,,public interest
264,Australian Community Children's Services,Citizen group,,,VIC,,age
1001,Executive Council of Australian Jewry,Citizen group,1,1944,NSW,,identity groups
1417,Parkinson's Australia Inc,Citizen group,1,1987,ACT,,disabled and health advocacy
1703,Women's Electoral Lobby - Australia Inc,Citizen group,,1972,ACT,,gender
1653,Transplant Australia,Citizen group,2,2003,NSW,,disabled and health advocacy
209,Australian Bowhunters Association,Citizen group,2,1976,QLD,,recreational
1607,Sustainable Population Australia Inc,Citizen group,0,1988,ACT,,public interest
846,CHOICE,Citizen group,80,1959,NSW,,public interest
1466,Prosper Australia Inc,Citizen group,0,2004,VIC,,public interest
753,Beyondblue: The National Depression Initiative,Citizen group,40,2000,VIC,,disabled and health advocacy
111,AUSPELD - The Australian Federation of SPELD Associations,Citizen group,,1968,QLD,,education
1236,Lone Fathers Association Australia Inc,Citizen group,0.5,1973,ACT,,gender
1061,Friends of the ABC,Citizen group,2,1976,VIC,,arts and cultural
865,Coeliac Australia,Citizen group,3,1980,NSW,,disabled and health advocacy
1701,Women in Science Enquiry Network,Citizen group,,1984,VIC,,gender
55,Animals Asia Foundation,Citizen group,300,1995,SA,,public interest
820,Cave Divers Association of Australia Inc,Citizen group,0,1973,SA,,recreational
343,Australian Federation of Ukrainian Organisations,Citizen group,0,1954,VIC,,identity groups
1088,Glaucoma Australia Inc,Citizen group,3,1988,NSW,,disabled and health advocacy
1333,National Ethnic Disability Alliance,Citizen group,4,1995,ACT,,disabled and health advocacy
1134,Homebirth Australia Inc,Citizen group,0,1978,NSW,,disabled and health advocacy
1461,Project Respect,Citizen group,3,1998,VIC,,gender
1481,Reconciliation Australia,Citizen group,,2000,QLD,,identity groups
1427,Philanthropy Australia,Citizen group,6,1977,VIC,,philantrophy
1358,National Rural Health Alliance,Citizen group,15,1993,ACT,,disabled and health advocacy
70,Asbestos Diseases Foundation of Australia Inc,Citizen group,0.5,1990,NSW,,disabled and health advocacy
866,Colong Foundation for Wilderness Ltd,Citizen group,1,1968,NSW,,public interest
796,Bushwalking Australia,Citizen group,0,2003,SA,,recreational
553,Australian Parents Council Inc,Citizen group,2,1962,TAS,,education
363,Australian Garden History Society,Citizen group,1,1980,VIC,,recreational
859,Civil Liberties Australia,Citizen group,0,2003,ACT,,public interest
839,Child and Family Welfare Association of Australia,Citizen group,,,VIC,,age
104,Atheist Foundation of Australia Inc,Citizen group,0,1970,SA,,identity groups
1348,National LGBTI Health Alliance,Citizen group,12,2009,NSW,,disabled and health advocacy
780,Brain Injury Australia Inc,Citizen group,1,1986,NSW,,disabled and health advocacy
986,Endeavour Forum Inc,Citizen group,0,1979,VIC,,public interest
812,Carers Australia Inc,Citizen group,10,1992,ACT,,disabled and health advocacy
1265,Men's Rights Agency,Citizen group,0,1994,QLD,,gender
263,Australian Communications Consumer Action Network,Citizen group,11,,NSW,,public interest
272,Australian Coral Reef Society,Citizen group,0,1922,QLD,,public interest
284,Australian Council of Stoma Associations,Citizen group,0.5,1970,QLD,,disabled and health advocacy
125,Australia Tibet Council,Citizen group,1,,NSW,,public interest
805,Cancer Council Australia,Citizen group,35,1961,NSW,,disabled and health advocacy
526,Australian National Committee on Refugee Women,Citizen group,,1985,NSW,,public interest
529,Australian National Kennel Council,Citizen group,1,1958,QLD,,public interest
717,Australian Wildlife Protection Council,Citizen group,0,1969,VIC,,public interest
280,Australian Council of Film Societies,Citizen group,0,1949,VIC,,arts and cultural
1005,Families and Friends for Drug Law Reform,Citizen group,0,1995,ACT,,disabled and health advocacy
923,Crime Victims Support Association,Citizen group,0,1995,VIC,,public interest
1618,Taxpayers Australia Inc,Citizen group,2.5,1919,VIC,,public interest
1326,National Council on Intellectual Disability,Citizen group,2,1970,ACT,,disabled and health advocacy
463,Australian Lawyers Alliance,Citizen group,9,1994,NSW,,public interest
1389,Oaktree Foundation,Citizen group,,2003,VIC,,social welfare and poor
898,Consumers Health Forum of Australia,Citizen group,9,1987,ACT,,public interest
47,AMIDA,Citizen group,1.5,1981,VIC,,disabled and health advocacy
269,Australian Conservation Foundation,Citizen group,,1966,SA,,public interest
1062,Friends of the Earth,Citizen group,,1974,VIC,,public interest
1711,Yfoundations,Citizen group,5,1987,NSW,,age
1440,Polish Community Council,Citizen group,0,,QLD,,identity groups
1007,Families Australia,Citizen group,2,2001,ACT,,social welfare and poor
289,Australian Council on Children and the Media,Citizen group,1.5,1957,SA,,age
1636,The Foundation for Young Australians,Citizen group,35,2000,VIC,,age
28,AIDS Trust of Australia,Citizen group,1,1987,NSW,,disabled and health advocacy
746,Baptist Union of Australia Inc,Citizen group,2,1926,SA,,identity groups
1320,National Civic Council,Citizen group,0,1941,VIC,,public interest
1373,National Woman's Christian Temperance Union,Citizen group,0,1887,VIC,,gender
1709,WWF - Australia,Citizen group,33,1978,NSW,,public interest
1338,National Foundation for Australian Women,Citizen group,0,,ACT,,gender
528,Australian National Four Wheel Drive Council,Citizen group,0,1984,ACT,,recreational
1252,"Maternity Coalition Inc, The",Citizen group,0,1989,VIC,,disabled and health advocacy
1102,Greening Australia Ltd,Citizen group,275,1982,ACT,,public interest
1243,Marine and Coastal Community Network,Citizen group,,,QLD,,public interest
1660,UN Women Australia Inc,Citizen group,3,1989,ACT,,gender
550,Australian Pain Society,Citizen group,0.5,1979,NSW,,disabled and health advocacy
337,Australian Federation of Islamic Councils,Citizen group,8,1964,NSW,,identity groups
158,Australian Arabic Council,Citizen group,0,1992,VIC,,identity groups
785,Breast Cancer Network Australia,Citizen group,24,1998,VIC,,disabled and health advocacy
1111,Haemophilia Foundation Australia Inc,Citizen group,2,1979,VIC,,disabled and health advocacy
1393,Older Womens Network Australia,Citizen group,0,,QLD,,age
1470,Public Health Association of Australia Inc,Citizen group,5,1993,ACT,,disabled and health advocacy
1045,Folk Alliance Australia,Citizen group,0.5,1996,SA,,arts and cultural
1226,Leukaemia Foundation of Australia,Citizen group,,1992,QLD,,disabled and health advocacy
1523,Santa Gertrudis Breeders Association,Business association,8,1955,QLD,agriculture forestry and fishing,business organization
117,Australia Belted Galloway Association,Business association,0,,NSW,agriculture forestry and fishing,business organization
1099,Graphic Arts Merchants Association of Australia Inc,Business association,1,1969,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
612,Australian Sales & Marketing Institute Inc,Business association,2,1994,VIC,professional scientific and technical activities,business organization
1624,Textile Distributors Association,Business association,0.5,1950,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
513,Australian Motor Industry Federation,Business association,5,1988,ACT,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1255,Media Federation of Australia,Business association,22,1997,NSW,information and communication,business organization
373,Australian Grain Exporters Association,Business association,1,1980,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1670,Urban Development Institute of Australia,Business association,,1961,ACT,real estate activities,business organization
1554,Simulation Australia,Business association,2,1996,SA,information and communication,business organization
705,Australian Vine Improvement Association,Business association,,1988,VIC,agriculture forestry and fishing,business organization
584,Australian Professional Rodeo Association,Business association,4,1944,QLD,arts entertainmnent and recreation,business organization
362,Australian Galloway Association Inc,Business association,0.5,1998,TAS,agriculture forestry and fishing,business organization
858,Civil Contractors Federation,Business association,80,1976,VIC,construction,business organization
1502,Roadmarking Industry Association of Australia Ltd,Business association,2,1991,VIC,transportation and storage,business organization
1121,Heating and Cooling Alliance of Australia Inc,Business association,0,1920,VIC,construction,business organization
150,Australian Airports Association,Business association,7,1982,ACT,transportation and storage,business organization
476,Australian Lot Feeders Association,Business association,2,1972,NSW,agriculture forestry and fishing,business organization
1532,Screen Producers Association of Australia,Business association,6,1956,NSW,information and communication,business organization
312,Australian Directors Guild,Business association,2,1981,NSW,information and communication,business organization
1321,National Cleaning Suppliers Association,Business association,0,,NSW,administrative and support service activities,business organization
1182,Institute of Public Administration Australia,Business association,2,1935,NSW,public administration and defence compulsory social security,business organization
685,Australian Texel Stud Breeders Association Inc,Business association,0,1989,VIC,agriculture forestry and fishing,business organization
1296,National Aquaculture Council,Business association,0,,ACT,agriculture forestry and fishing,business organization
1077,Gas Appliance Manufacturers Association of Australia Inc,Business association,2,1957,VIC,manufacturing,business organization
298,Australian Dairy Farmers Ltd,Business association,9,,VIC,agriculture forestry and fishing,business organization
391,Australian Home Entertainment Distributors Association,Business association,0.5,1986,NSW,information and communication,business organization
1531,Screen Printing and Graphic Imaging Association of Australia,Business association,0.5,1958,VIC,information and communication,business organization
184,Australian Association of Stud Merino Breeders Ltd,Business association,1,1959,NSW,agriculture forestry and fishing,business organization
1231,Liquor Merchants Association of Australia,Business association,9,1897,NSW,accommodation and food service activities,business organization
345,Australian Film Institute,Business association,12,1958,VIC,information and communication,business organization
121,Australia India Business Council,Business association,0.5,1986,SA,other service activities,business organization
887,Concrete Institute of Australia,Business association,5,1970,NSW,construction,business organization
26,Agribusiness Association of Australia,Business association,1,1989,SA,agriculture forestry and fishing,business organization
1499,Ricegrowers Association of Australia Inc,Business association,5,1930,NSW,agriculture forestry and fishing,business organization
137,Australia-Singapore Chamber of Commerce and Industry Ltd,Business association,0.5,1986,NSW,other service activities,business organization
1683,Water Industry Operators Association of Australia,Business association,4,1973,VIC,water supply sewerage wast management and remediation activities,business organization
355,Australian Football League,Business association,300,1896,VIC,arts entertainmnent and recreation,business organization
711,Australian Water Association,Business association,35,1962,NSW,water supply sewerage wast management and remediation activities,business organization
265,Australian Community Services Employers Association (Union of Employers),Business association,6,1973,QLD,human health and social work activities,business organization
689,Australian Toy Association Ltd,Business association,4,1983,VIC,manufacturing,business organization
1215,La Camara,Business association,1,2011,NSW,other service activities,business organization
890,Confederation of Australian Sport,Business association,,1976,NSW,arts entertainmnent and recreation,business organization
374,Australian Graphic Design Association,Business association,2,1988,SA,professional scientific and technical activities,business organization
479,Australian Lychee Growers' Association,Business association,1,,QLD,agriculture forestry and fishing,business organization
570,Australian Poll Dorset Association Inc,Business association,0,1954,VIC,agriculture forestry and fishing,business organization
1140,Housing Industry Association,Business association,,1965,ACT,construction,business organization
370,Australian Gift and Homewares Association,Business association,15,1987,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1647,Timber Communities Australia,Business association,1,1987,ACT,agriculture forestry and fishing,business organization
320,Australian Engravers and Signmakers Association Inc,Business association,0,1947,NSW,arts entertainmnent and recreation,business organization
1431,Pistachio Growers Association Inc,Business association,0,1985,SA,agriculture forestry and fishing,business organization
480,Australian Macadamia Society Ltd,Business association,6,1974,NSW,agriculture forestry and fishing,business organization
360,Australian Furniture Association Inc,Business association,6,1940,VIC,manufacturing,business organization
1353,National Retail Association Ltd,Business association,24,1931,QLD,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1547,Shearing Contractors' Association of Australia,Business association,0.5,1927,NSW,agriculture forestry and fishing,business organization
1548,Sheepmeat Council of Australia,Business association,3,1997,ACT,agriculture forestry and fishing,business organization
794,Bus Industry Confederation,Business association,3,1994,ACT,transportation and storage,business organization
288,Australian Council of Wool Exporters and ProcessorsInc,Business association,3,1976,VIC,manufacturing,business organization
1605,Sustainable Business Australia,Business association,2,1991,NSW,electricity gas steam and air conditioning supply,business organization
1262,Medicines Australia,Business association,25,1968,ACT,manufacturing,business organization
1039,Fire Protection Association Australia,Business association,11,1997,VIC,public administration and defence compulsory social security,business organization
136,Australia-Philippines Business Council Inc,Business association,,1988,NSW,other service activities,business organization
665,Australian Sport Aviation Confederation Inc,Business association,0.5,1989,ACT,arts entertainmnent and recreation,business organization
394,Australian Horticulture Exporters Association,Business association,2,1987,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
970,Drycleaning Institute of Australia Ltd,Business association,,1948,NSW,administrative and support service activities,business organization
334,Australian Federation of Employers and Industries,Business association,,1903,NSW,other service activities,business organization
1591,Steel Reinforcement Institute of Australia,Business association,1,1988,NSW,manufacturing,business organization
356,Australian Forest Growers,Business association,3,1969,ACT,agriculture forestry and fishing,business organization
956,Direct Selling Association of Australia Inc,Business association,5,1967,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
935,Dairy Industry Association of Australia Inc,Business association,1.5,1986,VIC,manufacturing,business organization
1634,The Financial Services Council,Business association,20,1997,NSW,financial and insurance activities,business organization
8,Accommodation Association of Australia,Business association,9,1969,NSW,accommodation and food service activities,business organization
116,Australia Arab Chamber of Commerce and Industry Inc,Business association,2,1975,ACT,other service activities,business organization
1600,Summerfruit,Business association,1,2003,NSW,agriculture forestry and fishing,business organization
888,Concrete Masonry Association of Australia,Business association,2,1966,NSW,manufacturing,business organization
1633,The Crane Industry Council of Australia,Business association,6,,VIC,manufacturing,business organization
74,Association for Data-driven Marketing & Advertising,Business association,18,1966,NSW,professional scientific and technical activities,business organization
1696,Winemakers Federation of Australia Inc,Business association,12,1989,SA,manufacturing,business organization
856,Citrus Austral ia Ltd,Business association,6,2008,VIC,agriculture forestry and fishing,business organization
814,Carpet Institute of Australia,Business association,2,1967,VIC,manufacturing,business organization
869,Commercial Radio Australia,Business association,16,1930,NSW,information and communication,business organization
1108,Gymnastics Australia,Business association,22,1949,VIC,arts entertainmnent and recreation,business organization
202,Australian Beverages Council Ltd,Business association,3,1947,NSW,accommodation and food service activities,business organization
1280,Mortgage and Finance Association of Australia,Business association,21,1979,NSW,financial and insurance activities,business organization
139,Australia-Thailand Business Council,Business association,,1988,ACT,other service activities,business organization
1315,National Basketball League,Business association,10,1979,SA,arts entertainmnent and recreation,business organization
1536,Seafood Services Australia,Business association,,,QLD,agriculture forestry and fishing,business organization
437,Australian Institute of Petroleum Ltd,Business association,4,1976,ACT,manufacturing,business organization
507,Australian Milking Machine Trade Association,Business association,,1979,VIC,manufacturing,business organization
1137,Hong Kong Australia Business Association,Business association,1,1987,NSW,other service activities,business organization
450,Australian Interactive Media Industry Association,Business association,8,1992,NSW,information and communication,business organization
520,Australian Music Retailers Association,Business association,1,1991,VIC,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1248,Master Fish Merchants' Association of Australia,Business association,0,,NSW,agriculture forestry and fishing,business organization
160,Australian Asphalt Pavement Association,Business association,10,1969,VIC,construction,business organization
819,Cattle Council of Australia Inc,Business association,5,1979,ACT,agriculture forestry and fishing,business organization
1093,Golf Australia,Business association,19,1898,VIC,arts entertainmnent and recreation,business organization
1342,National Herd Improvement Association of Australia Inc,Business association,1,1995,VIC,agriculture forestry and fishing,business organization
1195,Irish-Australian Chamber of Commerce,Business association,1,,VIC,other service activities,business organization
1610,Swiss-Australian Chamber of Commerce and Industry,Business association,1,1985,NSW,other service activities,business organization
106,Auctioneers and Valuers Association of Australia,Business association,,1952,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization
1695,Wine Grape Growers Australia,Business association,0.5,2005,SA,agriculture forestry and fishing,business organization
63,Architectural Door Hardware Association,Business association,0.5,,VIC,professional scientific and technical activities,business organization
589,Australian Publishers Association,Business association,7,1948,NSW,information and communication,business organization
1070,Galvanizers Association of Australia,Business association,4,1963,VIC,manufacturing,business organization
1101,Grassland Society of Southern Australia,Business association,0.5,1959,VIC,agriculture forestry and fishing,business organization
133,Australia-Latin America Business Council,Business association,1,1989,NSW,other service activities,business organization
509,Australian Miniature Goat Association,Business association,0,2004,NSW,agriculture forestry and fishing,business organization
41,Almond Board of Australia,Business association,7,,SA,agriculture forestry and fishing,business organization
98,Association of Superannuation Funds of Australia Ltd,Business association,40,1962,NSW,financial and insurance activities,business organization
1495,Restaurant and Catering Australia,Business association,4,1946,NSW,accommodation and food service activities,business organization
353,Australian Fodder Industry Association Ltd,Business association,1,1996,VIC,agriculture forestry and fishing,business organization
747,Barley Australia,Business association,1,2005,VIC,agriculture forestry and fishing,business organization
1057,Free TV Australia,Business association,5,1960,NSW,information and communication,business organization
759,Biodynamic Agriculture Australia,Business association,2,1989,NSW,agriculture forestry and fishing,business organization
135,Australia-Papua New Guinea Business Council,Business association,2,1981,QLD,other service activities,business organization
769,Board of Airline Representatives of Australia,Business association,2,,NSW,transportation and storage,business organization
174,Australian Association of Graduate Employers,Business association,3,1988,VIC,administrative and support service activities,business organization
1418,Parks and Leisure Australia,Business association,1,,VIC,arts entertainmnent and recreation,business organization
1686,Welding Technology Institute of Australia,Business association,20,1989,NSW,manufacturing,business organization
517,Australian Music Association,Business association,0.5,1977,VIC,arts entertainmnent and recreation,business organization
445,"Australian Institute of Refrigeration, Air Conditioning and Heating Inc",Business association,20,1920,VIC,electricity gas steam and air conditioning supply,business organization
1041,Fitness Australia Ltd,Business association,23,,NSW,arts entertainmnent and recreation,business organization
1336,National Fire Industry Association,Business association,,1926,VIC,public administration and defence compulsory social security,business organization
720,Australian Women in Agriculture,Business association,0.5,1993,VIC,agriculture forestry and fishing,business organization
688,Australian Tourism Export Council,Business association,9,1972,NSW,accommodation and food service activities,business organization
1100,Graphic Arts Services Association of Australia,Business association,,1923,NSW,information and communication,business organization
1116,Harness Racing Australia,Business association,4,1974,VIC,arts entertainmnent and recreation,business organization
201,Australian Beef Association Ltd,Business association,1,1997,QLD,agriculture forestry and fishing,business organization
566,Australian Pipeline Industry Association Ltd,Business association,6,1968,ACT,electricity gas steam and air conditioning supply,business organization
873,Communications Alliance,Business association,,,NSW,information and communication,business organization
1240,Maize Association of Australia,Business association,1,,NSW,agriculture forestry and fishing,business organization
1435,Plastics and Chemicals Industries Association Inc,Business association,15,1994,VIC,manufacturing,business organization
1161,Institute for Information Management,Business association,1,,VIC,information and communication,business organization
919,Country Music Association of Australia,Business association,0.5,1992,NSW,arts entertainmnent and recreation,business organization
619,Australian Self-Medication Industry,Business association,6,1974,NSW,manufacturing,business organization
