uniqid,Name,type,staff_com,formed_combined2,stat2,isic1_1,cat1_1,ABN,ABN status,ABN lookup name,ABN lookup score
52,Angus Australia,Business association,12.0,1919.0,NSW,agriculture forestry and fishing,business organization,56000574210.0,Active,ANGUS AUSTRALIA,100.0
53,Animal Health Alliance,Business association,2.0,2006.0,ACT,professional scientific and technical activities,business organization,71410180849.0,Active,Animal Health,97.0
55,Animals Asia Foundation,Citizen group,300.0,1995.0,SA,,public interest,63342853597.0,Cancelled,ANIMALS ASIA FOUNDATION INC,100.0
56,Animals Australia,Citizen group,13.0,1980.0,VIC,,public interest,65016845767.0,Active,ANIMALS AUSTRALIA,100.0
57,Apex Foundation,Service Group,2.0,,NSW,,social welfare and poor,58001347897.0,Active,APEX FOUNDATION,100.0
58,Appita Inc,Business association,1.0,1947.0,VIC,manufacturing,business organization,45093520019.0,Active,APPITA,100.0
59,Apple and Pear Australia,Business association,7.0,2002.0,VIC,agriculture forestry and fishing,business organization,55490626489.0,Active,APPLE AND PEAR AUSTRALIA LIMITED,100.0
60,Arabian Horse Society of Australia Ltd,Leisure group,6.0,1956.0,NSW,,public interest,12001281590.0,Active,ARABIAN HORSE SOCIETY OF AUST LTD,100.0
61,Arboriculture Australia,Business association,,,SA,agriculture forestry and fishing,business organization,77090873644.0,Active,ARBORICULTURE AUSTRALIA LTD,100.0
62,Archery Australia Inc,Citizen group,4.0,1948.0,NSW,,recreational,26458735812.0,Active,ARCHERY AUSTRALIA INCORPORATED,100.0
63,Architectural Door Hardware Association,Business association,0.5,,VIC,professional scientific and technical activities,business organization,76437349282.0,Active,ARCHITECTURAL DOOR HARDWARE ASSOCIATION INC.,100.0
65,Armenian National Committee of Australia,Citizen group,,,VIC,,identity groups,86879639503.0,Active,Armenian National Committee of Australia Inc.,100.0
66,Arthritis Australia,Citizen group,5.0,1949.0,NSW,,disabled and health advocacy,67002598594.0,Active,ARTHRITIS AUSTRALIA,100.0
67,Arts Access Australia,Citizen group,1.0,1992.0,VIC,,arts and cultural,20084007321.0,Active,ARTS ACCESS AUSTRALIA,100.0
69,Arts Law Centre of Australia,Hybrid group,6.0,1983.0,NSW,,arts and cultural,71002706256.0,Active,ARTS LAW CENTRE OF AUSTRALIA,100.0
70,Asbestos Diseases Foundation of Australia Inc,Citizen group,0.5,1990.0,NSW,,disabled and health advocacy,29170956389.0,Active,ASBESTOS DISEASES FOUNDATION OF AUSTRALIA INCORPORATED,100.0
71,Asbestoswise,Hybrid group,1.0,1992.0,VIC,,disabled and health advocacy,74776624469.0,Cancelled,Asbestos Wise Inc,100.0
72,Ash Development Association of Australia,Business association,,1991.0,NSW,manufacturing,business organization,79053753772.0,Active,ASH DEVELOPMENT ASSOCIATION OF AUSTRALIA,100.0
74,Association for Data-driven Marketing & Advertising,Business association,18.0,1966.0,NSW,professional scientific and technical activities,business organization,53156305487.0,Active,ASSOCIATION FOR DATA-DRIVEN MARKETING & ADVERTISING,97.0
75,Association for Manufacturing Excellence,Professional group,,,VIC,manufacturing,occupational association,29467316738.0,Active,MANUFACTURING EXCELLENCE,97.0
76,Association for Tertiary Education Management,Professional group,5.0,1976.0,NSW,education,occupational association,72682233729.0,Active,ASSOC FOR TERTIARY EDUCATION MANAGEMENT INC,100.0
77,Association for the Study of Australian Literature,Leisure group,,,NSW,,arts and cultural,37002755599.0,Active,ASSOCIATION FOR THE STUDY OF AUSTRALIAN LITERATURE LTD,100.0
78,Association of Accounting Technicians Australia,Professional group,2.0,2002.0,VIC,professional scientific and technical activities,occupational association,25085441934.0,Active,ASSOCIATION OF ACCOUNTING TECHNICIANS (AUS) LTD,100.0
79,Association of Australian Acoustical Consultants,Professional group,0.0,,QLD,professional scientific and technical activities,occupational association,79354670646.0,Active,Association of Australian Acoustical Consultants,100.0
80,Association of Australian Convention Bureaux,Business association,1.0,1986.0,VIC,professional scientific and technical activities,business organization,17417097078.0,Active,ASSOCIATION OF AUSTRALIAN CONVENTION BUREAUX INC,100.0
81,Association of Australian Investigators Inc,Professional group,,,VIC,administrative and support service activities,occupational association,49610626143.0,Active,AUSTRALIAN ASSOCIATION OF WORKPLACE INVESTIGATORS,93.0
82,"Association of Consultants in Access, Australia",Professional group,0.5,2000.0,VIC,human health and social work activities,occupational association,45978370019.0,Active,ASSOCIATION OF CONSULTANTS IN ACCESS AUSTRALIA,100.0
83,Association of Consulting Architects,Professional group,,1986.0,VIC,professional scientific and technical activities,occupational association,77893854746.0,Active,ASSOCIATED ARCHITECTS,97.0
84,Association of Feng Shui Consultants,Professional group,0.0,,NSW,arts entertainmnent and recreation,occupational association,33040714240.0,Active,Association of Feng Shui Consultants,100.0
85,Association of Financial Advisers,Professional group,5.0,1946.0,NSW,financial and insurance activities,occupational association,29008619921.0,Active,ASSOCIATION OF FINANCIAL ADVISERS LTD,100.0
86,Association of Heads of Independent Schools of Australia,Professional group,3.0,1985.0,ACT,education,occupational association,43957339364.0,Cancelled,THE ASSOCIATION OF HEADS OF INDEPENDENT SCHOOLS OF AUSTRALIA,100.0
87,Association of Hospital Supply and Purchasing Officers Inc,Professional group,,1956.0,VIC,human health and social work activities,occupational association,82958634724.0,Active,ASSOCIATION OF HOSPITAL SUPPLY AND PURCHASING OFFICERS,100.0
88,Association of Hydraulic Services Consultants Australia Inc,Professional group,,1974.0,QLD,construction,occupational association,23031331289.0,Active,ASSOCIATION OF HYDRAULIC SERVICES CONSULTANTS AUSTRALIA INC,100.0
89,Association of Independent Retirees Ltd,Citizen group,0.0,1990.0,ACT,,age,38059010418.0,Cancelled,ASSOCIATION OF INDEPENDENT RETIREES INC,100.0
90,Association of Market and Social Research Organisations,Business association,1.0,,NSW,professional scientific and technical activities,business organization,20107667398.0,Active,ASSOCIATION OF MARKET AND SOCIAL RESEARCH ORGANISATIONS,100.0
91,Association of Massage Therapists Ltd,Professional group,2.0,1966.0,NSW,human health and social work activities,occupational association,32001859285.0,Active,ASSOCIATION OF MASSAGE THERAPISTS LTD,100.0
92,Association of Mining Exploration Companies,Business association,9.0,1981.0,WA,mining and quarrying,business organization,33362864696.0,Active,ASSOCIATION OF MINING AND EXPLORATION COMPANIES INC,100.0
93,Association of Professional Aestheticians of Australia,Professional group,1.0,1957.0,QLD,other service activities,occupational association,35001511280.0,Cancelled,THE ASSOCIATION OF PROFESSIONAL AESTHETICIANS OF AUSTRALIA,100.0
94,Association of Professional Astrologers Inc,Professional group,0.0,,VIC,other service activities,occupational association,17067549446.0,Cancelled,A.P.A. PTY LTD,85.0
95,Association of Professional Color Imagers -Australia,Professional group,2.0,1979.0,NSW,professional scientific and technical activities,occupational association,48159412852.0,Cancelled,COLORCORP AUSTRALIA PTY LTD,91.0
96,"Association of Professional Engineers, Scientists and Managers",Professional group,130.0,1946.0,VIC,professional scientific and technical activities,occupational association,99589872974.0,Active,THE ASSOCATION OF PROFESSIONAL ENGINEERS SCIENTISTS MANAGERS AUSTRAL,97.0
98,Association of Superannuation Funds of Australia Ltd,Business association,40.0,1962.0,NSW,financial and insurance activities,business organization,29002786290.0,Active,THE ASSOCIATION OF SUPERANNUATION FUNDS OF AUSTRALIA LIMITED,100.0
99,Association of Taxation and Management Accountants,Professional group,,1985.0,NSW,professional scientific and technical activities,occupational association,32002876208.0,Active,ASSOCIATION OF TAXATION AND MANAGEMENT ACCOUNTANTS,100.0
100,Association of Women Educators,Professional group,0.5,1983.0,QLD,education,occupational association,95591609742.0,Active,ASSOCIATION OF WOMEN EDUCATORS,100.0
101,Assyrian Australian Association,Citizen group,1.0,1969.0,NSW,,identity groups,29000708618.0,Active,ASSYRIAN AUSTRALIAN ASSOCIATION,100.0
102,Asthma Australia,Hybrid group,3.0,1992.0,SA,,disabled and health advocacy,47931649319.0,Cancelled,ASTHMA AUSTRALIA,100.0
103,Astronomical Society of Australia,Professional group,0.0,1960.0,TAS,professional scientific and technical activities,occupational association,37660297848.0,Active,ASTRONOMICAL SOCIETY OF AUSTRALIA,100.0
104,Atheist Foundation of Australia Inc,Citizen group,0.0,1970.0,SA,,identity groups,14375720019.0,Active,ATHEIST FOUNDATION OF AUSTRALIA INCORPORATED,100.0
105,Athletics Australia,Business association,24.0,1897.0,VIC,arts entertainmnent and recreation,business organization,72006447294.0,Active,ATHLETICS AUSTRALIA,100.0
106,Auctioneers and Valuers Association of Australia,Business association,,1952.0,NSW,wholesale and retail trade repair of motor vehicles and motorcycles,business organization,21000109544.0,Active,AUCTIONEERS & VALUERS ASSOCIATION OF AUSTRALIA (INCORP),100.0
107,Audiological Society of Australia (t/a Audiology Australia),Professional group,2.0,1968.0,VIC,human health and social work activities,occupational association,11064552781.0,Cancelled,AUDIOLOGICAL SOCIETY OF AUSTRALIA INC,100.0
108,Audit Bureau of Australia,Business association,7.0,1932.0,NSW,information and communication,business organization,78139927254.0,Active,Audit Australia Pty Ltd,97.0
109,AusBiotech Ltd,Business association,3.0,2001.0,VIC,professional scientific and technical activities,business organization,87006509726.0,Active,AUSBIOTECH LTD.,100.0
110,Ausglass,Professional group,1.0,1978.0,VIC,arts entertainmnent and recreation,occupational association,16981595730.0,Cancelled,AUSGLASS,100.0
111,AUSPELD - The Australian Federation of SPELD Associations,Citizen group,,1968.0,QLD,,education,26314427351.0,Active,AUSPELD,76.0
112,Aussie Helpers,Service Group,1.0,2002.0,NSW,,social welfare and poor,29126111582.0,Active,AUSSIE HELPERS LTD.,100.0
113,Austmine,Business association,10.0,,NSW,mining and quarrying,business organization,77008657887.0,Active,AUSTMINE LIMITED,100.0
115,Australia Africa Business Council,Business association,0.0,1990.0,NSW,other service activities,business organization,47224143759.0,Active,AUSTRALIA AFRICA BUSINESS COUNCIL INC,100.0
116,Australia Arab Chamber of Commerce and Industry Inc,Business association,2.0,1975.0,ACT,other service activities,business organization,61001639452.0,Active,AUSTRALIA ARAB CHAMBER OF COMMERCE & INDUSTRY INC.,100.0
117,Australia Belted Galloway Association,Business association,0.0,,NSW,agriculture forestry and fishing,business organization,65169855060.0,Active,AUSTRALIAN BELTED GALLOWAY ASSOCIATION INC,100.0
118,Australia China Business Council,Business association,,1973.0,NSW,other service activities,business organization,57075909625.0,Active,AUSTRALIA CHINA BUSINESS COUNCIL,100.0
120,Australia for UNHCR,Service Group,112.0,2000.0,NSW,,public interest,35092843322.0,Active,AUSTRALIA FOR UNHCR,100.0
121,Australia India Business Council,Business association,0.5,1986.0,SA,other service activities,business organization,53049116260.0,Active,AUSTRALIA INDIA BUSINESS COUNCIL,100.0
122,Australia Korean Welfare Association,Service Group,2.0,1979.0,NSW,,identity groups,36003113086.0,Active,AUSTRALIAN KOREAN WELFARE ASSOCIATION,100.0
123,Australia Medic Alert Foundation,Service Group,13.0,1971.0,SA,,disabled and health advocacy,31140801427.0,Active,AUSTRALIA MEDIC ALERT FOUNDATION,100.0
124,Australia New Guinea Fishes Association,Leisure group,0.0,1982.0,VIC,,public interest,67773290845.0,Active,AUSTRALIA NEW GUINEA FISHES ASSOCIATION INCORPORATED,100.0
125,Australia Tibet Council,Citizen group,1.0,,NSW,,public interest,15088312529.0,Active,AUSTRALIA TIBET COUNCIL LIMITED,100.0
126,Australia Zoo Wildlife Warriors Worldwide Ltd,Citizen group,3.0,2002.0,QLD,,public interest,13102721513.0,Active,AUSTRALIA ZOO WILDLIFE WARRIORS WORLDWIDE LTD,100.0
128,Australia-Brazil Chamber of Commerce Inc,Business association,0.5,1978.0,NSW,other service activities,business organization,28448695142.0,Active,THE AUSTRALIA BRAZIL CHAMBER OF COMMERCE INC,100.0
129,Australia-Fiji Business Council,Business association,1.0,1986.0,QLD,other service activities,business organization,76165044530.0,Active,AUSTRALIA FIJI BUSINESS COUNCI,96.0
130,Australia-Hungary Chamber of Commerce & Industry,Business association,,1989.0,VIC,other service activities,business organization,33117286736.0,Cancelled,HUNGRYPET AUSTRALIA,73.0
131,Australia-Israel Chamber of Commerce,Business association,,1970.0,NSW,other service activities,business organization,35000833385.0,Active,AUSTRALIA-ISRAEL CHAMBER OF COMMERCE,100.0
132,Australia-Japan Business Cooperation Committee,Business association,1.0,1962.0,ACT,other service activities,business organization,71702049953.0,Cancelled,AUSTRALIA JAPAN BUSINESS CO OPERATION COMMITTEE,100.0
133,Australia-Latin America Business Council,Business association,1.0,1989.0,NSW,other service activities,business organization,27091186015.0,Active,AUSTRALIA-LATIN AMERICA BUSINESS COUNCIL LIMITED,100.0
134,Australia-Malaysia Business Council,Business association,0.5,1988.0,ACT,other service activities,business organization,94580524709.0,Active,AUSTRALIA MALAYSIA BUSINESS COUNCIL,100.0
135,Australia-Papua New Guinea Business Council,Business association,2.0,1981.0,QLD,other service activities,business organization,72388264409.0,Cancelled,AUSTRALIA PAPUA NEW GUINEA BUSINESS COUNCIL,100.0
136,Australia-Philippines Business Council Inc,Business association,,1988.0,NSW,other service activities,business organization,20012377422.0,Active,AUSTRALIA PHILIPPINES BUSINESS COUNCIL,100.0
137,Australia-Singapore Chamber of Commerce and Industry Ltd,Business association,0.5,1986.0,NSW,other service activities,business organization,98003444719.0,Active,AUSTRALIA-SINGAPORE CHAMBER OF COMMERCE AND INDUSTRY LTD,100.0
138,Australia-Taiwan Business Council,Business association,1.0,1984.0,NSW,other service activities,business organization,54277276297.0,Cancelled,AUSTRALIA TAIWAN BUSINESS COUNCIL,100.0
139,Australia-Thailand Business Council,Business association,,1988.0,ACT,other service activities,business organization,59344991035.0,Active,AUSTRALIA THAILAND BUSINESS COUNCIL,100.0
140,Australia/Israel & Jewish Affairs Council,Citizen group,15.0,,VIC,,identity groups,50655785430.0,Active,Australian Voices for Israel,97.0
141,Australian Academy of Science,Professional group,,1954.0,ACT,professional scientific and technical activities,occupational association,90700613342.0,Active,AUSTRALIAN ACADEMY OF SCIENCE,100.0
142,Australian Academy of Technological Sciences and Engineering,Professional group,9.0,1976.0,VIC,professional scientific and technical activities,occupational association,58008520394.0,Active,AUSTRALIAN ACADEMY OF TECHNOLOGICAL SCIENCES AND ENGINEERING,100.0
143,Australian Academy of the Humanities,Professional group,4.0,1969.0,ACT,education,occupational association,22568475852.0,Active,AUSTRALIAN ACADEMY OF THE HUMANITIES,100.0
144,Australian Acoustical Society,Professional group,0.5,1964.0,QLD,professional scientific and technical activities,occupational association,28000712658.0,Active,AUSTRALIAN ACOUSTICAL SOCIETY,100.0
145,Australian Acupuncture & Chinese Medicine Association Ltd,Professional group,6.0,1973.0,QLD,human health and social work activities,occupational association,52010020390.0,Active,AUSTRALIAN ACUPUNCTURE ASSOCIATION LTD,97.0
146,Australian Addison's Disease Association,Service Group,0.0,1995.0,NSW,,disabled and health advocacy,60466289835.0,Active,AUSTRALIAN ADDISONS DISEASE ASSOCIATION INCORPORATED,100.0
147,Australian Advisory Board on Autism Spectrum Disorders,Citizen group,,1966.0,NSW,,disabled and health advocacy,53085018408.0,Active,AUSTRALIAN ADVISORY BOARD ON AUTISM SPECTRUM DISORDERS LIMITED,100.0
148,Australian Aerobatic Club,Leisure group,0.0,1972.0,NSW,,recreational,78001052688.0,Active,AUSTRALIAN AEROBATIC CLUB,100.0
149,Australian Agricultural and Resource Economics Society,Professional group,0.0,1957.0,ACT,agriculture forestry and fishing,occupational association,96079246304.0,Cancelled,AUSTRALIAN AGRICULTURAL AND RESOURCE ECONOMICS SOCIETY,100.0
150,Australian Airports Association,Business association,7.0,1982.0,ACT,transportation and storage,business organization,89008647336.0,Active,AUSTRALIAN AIRPORTS ASSOCIATION LIMITED,100.0
151,Australian Alpaca Association Ltd,Business association,2.0,1990.0,VIC,agriculture forestry and fishing,business organization,33710945160.0,Cancelled,AUSTRALIAN ALPACA ASSOCIATION INC,100.0
152,Australian Aluminium Council,Business association,3.0,,ACT,manufacturing,business organization,28000611781.0,Active,AUSTRALIAN ALUMINIUM COUNCIL LIMITED,100.0
153,"Australian Amusement, Leisure and Recreation Association Inc",Business association,1.0,1995.0,QLD,arts entertainmnent and recreation,business organization,51271848323.0,Active,AUSTRALIAN AMUSEMENT LEISURE AND RECREATION ASSOCIATION INC.,100.0
154,Australian and NZ College of Anaesthetists,Professional group,16.0,1992.0,VIC,human health and social work activities,occupational association,82055042852.0,Active,AUSTRALIAN & NEW ZEALAND COLLEGE OF ANAESTHETISTS,100.0
156,Australian Anti-Fluoridation Association,Citizen group,,1960.0,VIC,,disabled and health advocacy,42642532401.0,Active,ANT ASSOCIATES PTY LTD,91.0
157,Australian Antique & Art Dealers Association,Business association,1.0,1992.0,VIC,arts entertainmnent and recreation,business organization,72035795010.0,Active,AUSTRALIAN ANTIQUES,100.0
158,Australian Arabic Council,Citizen group,0.0,1992.0,VIC,,identity groups,39573739260.0,Active,AUSTRALIAN ARABIC COUNCIL,100.0
159,Australian Archaeological Association Inc,Professional group,0.0,1973.0,QLD,professional scientific and technical activities,occupational association,13110628970.0,Active,AUSTRALIAN ARCHAEOLOGICAL ASSOCIATION INC,100.0
160,Australian Asphalt Pavement Association,Business association,10.0,1969.0,VIC,construction,business organization,31000770123.0,Active,AUSTRALIAN ASPHALT PAVEMENT ASSOCIATION LTD,100.0
161,Australian Association for Circus and Physical Theatre,Business association,0.5,1999.0,VIC,arts entertainmnent and recreation,business organization,98204544980.0,Active,AUSTRALIAN CIRCUS AND PHYSICAL THEATRE ASSOCIATION INC,96.0
162,Australian Association for Environmental Education,Professional group,0.5,1980.0,QLD,education,occupational association,80047534235.0,Active,AUSTRALIAN ASSOCIATION FOR ENVIRONMENT EDUCATION INCORPORATED,100.0
163,Australian Association for Infant Mental Health,Professional group,12.0,1987.0,NSW,human health and social work activities,occupational association,88625753522.0,Active,AUSTRALIAN ASSOCIATION FOR INFANT MENTAL HEALTH LIMITED,100.0
164,Australian Association for Maritime Affairs,Business association,0.5,1979.0,ACT,transportation and storage,business organization,44236050719.0,Cancelled,THE AUSTRALIAN ASSOCIATION FOR MARITIME AFFAIRS INC,100.0
165,Australian Association for Maritime History,Leisure group,0.0,1978.0,WA,,recreational,47244526977.0,Active,AUSTRALIAN ASSOCIATION FOR MARITIME HISTORY INCORPORATED,100.0
166,Australian Association for Professional and Applied Ethics,Professional group,0.0,1992.0,NSW,professional scientific and technical activities,occupational association,91541307476.0,Active,AUSTRALIAN ASSN OF PROFESSIONAL & APPLIED ETHICS INCORPORATED,100.0
167,Australian Association for Research in Education,Professional group,1.5,1971.0,ACT,education,occupational association,27453170042.0,Active,AUSTRALIAN ASSOCIATION FOR RESEARCH IN EDUCATION,100.0
168,Australian Association for the Teaching of English,Professional group,1.0,1964.0,SA,education,occupational association,80009808468.0,Active,AUSTRALIAN ASSOCIATION FOR THE TEACHING OF ENGLISH INC,100.0
169,Australian Association for the Wellbeing of Children in Healthcare,Citizen group,1.0,1973.0,VIC,,disabled and health advocacy,33119036261.0,Active,AUSTRALIAN ASSOCIATION FOR THE WELLBEING OF CHILDREN IN HEALTH CARE,100.0
170,Australian Association of Consultant Pharmacy,Professional group,8.0,1995.0,ACT,human health and social work activities,occupational association,62057706064.0,Active,AUSTRALIAN ASSOCIATION OF CONSULTANT PHARMACY P/L,100.0
171,Australian Association of Consulting Archaeologists Inc,Professional group,0.5,,VIC,professional scientific and technical activities,occupational association,45726098396.0,Active,AUSTRALIAN ASSOCIATION OF CONSULTING ARCHAEOLOGISTS INCORPORATED,100.0
173,Australian Association of Gerontology,Professional group,1.0,1964.0,QLD,human health and social work activities,occupational association,95896674194.0,Cancelled,AUSTRALIAN ASSOCIATION OF GERONTOLOGY INC,100.0
174,Australian Association of Graduate Employers,Business association,3.0,1988.0,VIC,administrative and support service activities,business organization,28003547680.0,Active,AUSTRALIAN ASSOCIATION OF GRADUATE EMPLOYERS LIMITED,100.0
177,Australian Association of Massage Therapists,Professional group,8.0,2003.0,VIC,human health and social work activities,occupational association,70104153460.0,Active,AUSTRALIAN ASSOCIATION OF MASSAGE THERAPISTS LTD,100.0
178,Australian Association of Mathematics Teachers Inc,Professional group,4.0,1966.0,SA,education,occupational association,76515756909.0,Active,THE AUSTRALIAN ASSN OF MATHEMATICS TEACHERS INC,100.0
